X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.1243489999999,43.034076,2024/06/23 04:00:00+00,300,1000,900 ACKERMAN AV   ,,Of Bicycle,BURGLARY,43.034076,-76.1243489999999,3011
-76.1243489999999,43.034076,2024/04/28 04:00:00+00,1930,940,900 ACKERMAN AV ,,From Motor Vehicle,LARCENY,43.034076,-76.1243489999999,3012
-76.1243489999999,43.034076,2024/01/17 05:00:00+00,1325,1325,900 ACKERMAN AV   ,,All Other,LARCENY,43.034076,-76.1243489999999,3013
-76.1243489999999,43.034076,2024/04/22 04:00:00+00,715,715,900 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.034076,-76.1243489999999,3014
-76.1243489999999,43.034076,2024/05/05 04:00:00+00,2100,1830,900 ACKERMAN AV   ,,Of Bicycle,MV THEFT,43.034076,-76.1243489999999,3015
-76.1243489999999,43.034076,2024/03/22 04:00:00+00,2135,2135,900 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.034076,-76.1243489999999,3016
-76.1243489999999,43.034076,2024/05/22 04:00:00+00,0,0,900 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.034076,-76.1243489999999,3017
-76.195493999,43.053813,2024/03/10 05:00:00+00,1443,1443,900 AVERY AV   ,,Of Bicycle,MV THEFT,43.053813,-76.195493999,3018
-76.142417149,43.009729398,2024/07/03 04:00:00+00,2028,2028,4000 S SALINA ST     ,,All Other,LARCENY,43.009729398,-76.142417149,3019
-76.195493999,43.053813,2024/07/04 04:00:00+00,837,837,900 AVERY AV   ,,,AGGRAVATED ASSAULT,43.053813,-76.195493999,3020
-76.127337,43.052661,2024/03/04 05:00:00+00,500,1100,900 BURNET AV ,,Of Bicycle,MV THEFT,43.0526610000001,-76.127337,3021
-76.1437079999999,43.0630380000001,2024/04/28 04:00:00+00,850,850,900 BUTTERNUT ST   ,Yes,,AGGRAVATED ASSAULT,43.0630380000001,-76.1437079999999,3022
-76.1437079999999,43.0630380000001,2024/02/02 05:00:00+00,1119,1119,900 BUTTERNUT ST   ,,Motor Vehicle,MV THEFT,43.0630380000001,-76.1437079999999,3023
-76.1437079999999,43.0630380000001,2024/04/30 04:00:00+00,1500,1500,900 BUTTERNUT ST   ,,Of Bicycle,MV THEFT,43.0630380000001,-76.1437079999999,3024
-76.1437079999999,43.0630380000001,2024/03/07 05:00:00+00,1342,1342,900 BUTTERNUT ST     ,,,BURGLARY,43.0630380000001,-76.1437079999999,3025
-76.1437079999999,43.0630380000001,2024/01/17 05:00:00+00,859,859,900 BUTTERNUT ST   ,Yes,,ROBBERY,43.0630380000001,-76.1437079999999,3026
-76.13757,43.046784,2024/05/26 04:00:00+00,200,1200,900 E  GENESEE ST     ,,All Other,LARCENY,43.0467840000001,-76.13757,3027
-76.1309190009999,43.0043400000001,2024/07/21 04:00:00+00,21,21,900 E  BRIGHTON AVE    ,,Shoplifting,LARCENY,43.0043400000001,-76.1309190009999,3028
-76.1309190009999,43.0043400000001,2024/02/02 05:00:00+00,240,240,900 E BRIGHTON AV ,,From Building,BURGLARY,43.0043400000001,-76.1309190009999,3029
-76.143247472,43.005339473,2024/04/04 04:00:00+00,1530,815,4400 S SALINA ST     ,,Of Bicycle,MV THEFT,43.005339473,-76.143247472,3030
-76.1309190009999,43.0043400000001,2024/03/15 04:00:00+00,1545,1550,900 E BRIGHTON AV   ,,All Other,LARCENY,43.0043400000001,-76.1309190009999,3031
-76.1309190009999,43.0043400000001,2024/04/19 04:00:00+00,230,230,900 E BRIGHTON AV   ,,Of Bicycle,MV THEFT,43.0043400000001,-76.1309190009999,3032
-76.142417149,43.009729398,2024/01/26 05:00:00+00,1650,1700,4000 S SALINA ST     ,,Shoplifting,LARCENY,43.009729398,-76.142417149,3033
-76.13757,43.046784,2024/04/23 04:00:00+00,1200,1200,900 E GENESEE ST     ,,All Other,LARCENY,43.0467840000001,-76.13757,3034
-76.151313,43.0704900000001,2024/03/21 04:00:00+00,15,15,900 FIRST NORTH ST     ,,All Other,LARCENY,43.0704900000001,-76.151313,3035
-76.195702394,43.0314527950001,2024/07/12 04:00:00+00,351,1016,4600 ONONDAGA BLVD   ,,,BURGLARY,43.0314527950001,-76.195702394,3036
-76.1032575,43.0640910000001,2024/03/24 04:00:00+00,150,400,900 GLENCOVE RD     ,,From Building,BURGLARY,43.0640910000001,-76.1032575,3037
